,stem_review,polarity_score,sentiment
1050,jawab komprehensif rapi rima anies baswedan top pokok kalo bicara kerja gantung menteri partai usung masingmasing ya kalo presiden program kerja buruk dukung legislatif amp jajar bawah,11,positif
1051,masyarakat nilai sendirimana paslon usaha jatuh paslon lainmana iklhas pimpin indonesia,0,netral
1052,anies rasyid baswedan,0,netral
1053,sih gemoy asli debat kemarin gampang emosional visi misi susah sih bocil cawapres nya,5,positif
1054,ikut emosi sih pasang pragib gemoy deh hahaabrmau bawa mana negara kalo pimpin nya emosianpak,-2,negatif
1055,keren debat nya bobot pragib bingung ya,4,positif
1056,andai prabowo wakil nya mahfud,2,positif
1057,piye pragib ragu gin walahdebat pake yuk pilih cerdas ya pimpin debat pilih ragu pilih cerdas,-4,negatif
1058,anis cocok prawakan presiden gagahbrsemarang hadir,3,positif
1059,aminin anies bismillah presiden,7,positif
1060,prabowo presiden,3,positif
1061,joged ajaini bahaya kalo presiden joged hadap nya,-2,negatif
1062,anis sangatquot kualitas presiden semangat pal menang,9,positif
1063,busser nya anis lumayan ya,3,positif
1064,debat capres kemarinkami ragu ragu pilih prabowo gibran,-5,negatif
1065,all prabowo,0,netral
1066,suruh pilih ya no brnamun fakta pimpin diri mandiri dunia keras minim rasa bantu pemerinah fakta orang kuasa kaya,-14,negatif
1067,prabowo seram bremosionalbrjadi ragu pilih prabowo indonesia kayak korut,-12,negatif
1068,khawatir indonesia pimpin prabowo gibranyang emosi alam,-4,negatif
1069,video muhammad aisya min,0,netral
1070,bisa bahasa doang nyudutin mulu tau modal kuping tanp andal otak kasihan banget sih oh ya ya tuhan salib tuhan gana tuh nasib orang buta,9,positif
1071,moga menang amin,0,netral
1072,sikat,0,netral
1073,trending anies keren tanding,2,positif
1074,mahasiswa pimpin sosok pribadi gagas peduli partai pimpin pilih kualitas integritas bagus penting partai dominasi putus presiden depan debat urut pilih terhadapbr anisbr ganjarbr prabowobrpilihan ubah gantung debat gagas orang pikir kritis depan pengaruh buzzer bela pilih cela lawan indonesia salam milu damai,-7,negatif
1075,anies sampai visi misi bagus debat kuasa materi indonesia presiden anies baswedan milu pilih prabowo insyaallah pilih anies baswedan presiden ri,8,positif
1076,komen rataquotanis tau kalo hasil milu tau,-5,negatif
1077,mnurutku muda bkerja prabowo tua orang tua cnderung tempramen emosi krg stabil milu mnurutku sempat,-10,negatif
1078,anies luv you,0,netral
1079,awas kpu indikasi lindung cium,5,positif
1080,wasit,-3,negatif
1081,anies jago ngomong,3,positif
1082,makan pedas lupa minum manisudah capek hidup pesimisperubahan pilih anies,-13,negatif
1083,anies rasyid baswedan,0,netral
1084,prabowo menang putar,-1,negatif
1085,anies tolong acc skripsi,1,positif
1086,prabowo bingung debat capresdia tutup kebingunganya berjogedprabowo mati kutu emosiyang baik anis kalem tenang,8,positif
1087,all amin,0,netral
1088,amin hatihati takut jabat ketar tir kalo pilih,-11,negatif
1089,tarik,2,positif
1090,tampil grogi pdnya bedaaaaa amin serius,-11,negatif
1091,asa komen isi mayoritas kagum anies heran deh hasil survey suara anies,5,positif
1092,pilih prabowo anis mimpin jakarta maksimal,1,positif
1093,memang prabowo gimana mimpin daerah,2,positif
1094,gurumuda ow iya pilih ganjar,0,netral
1095,pintar ngomong pandang depanbrbrreply,1,positif
1096,muluk muluk rakyat bangsa indonesia please hianati bangsa jujur amanah netral curang menghianati bangsa indonesia,0,netral
1097,terima kasih kpu selenggara debat capres harap ada cawapres rakyat indonesia tau visi misi wawas program cawapres rakyat cawapres wadah cari suara gagas gagas terima kasih,9,positif
1098,prabowo gagal wakil isi,-7,negatif
1099,fenomena ordal negeri konoha,0,netral
1100,amin pilih ku no,-2,negatif
1101,pasang pragib bingung debat capres,7,positif
1102,tombol prabowo,0,netral
1103,aneh kalo prabowo itutp bikin mmilihnya yg deh asliplastik,0,netral
1104,program tawar pragib tuh ya,0,netral
1105,bahas jatuh bahan keren bahas realistis sederhana,1,positif
1106,prabowo menang pasang gibran hadeeh,3,positif
1107,wkwkkwkwkwk pragib emosi ya ampun pimpin tahan emosi presiden indonesia,2,positif
1108,omong kasar malu pragib sadar mampu gagal pilpreskok maju kalkulator malu malu,-15,negatif
1109,pragib cawapres kayak nya pola pikir bangsa n negara sepenuh brantas permasahan negara,-1,negatif
1110,khawatir indonesia pimpin prabowo,-4,negatif
1111,gua full khawatir bang,-7,negatif
1112,gue khawatir banget rem,-8,negatif
1113,pilih anies presiden,1,positif
1114,all prabowo,0,netral
1115,presidenya anti korupsi biar rakyat makmur sentosa,1,positif
1116,jakarta pilih pasang amin,2,positif
1117,nyalon kali gakkebayang n pragib pilih lihat kualitas gim,5,positif
1118,tau calon pas presiden ri gak bayang indonesia pimpin pragib ya allah tolong bantu pilih pimpin pilih mu,9,positif
1119,kalo pragib pilih brbrsemoga rakyat negara tau cawapresnya,-6,negatif
1120,maduraamn,0,netral
1121,pragib bingung ikut debat capres,0,netral
1122,amin ajajelas kapasitas kapabilitasnya aminaamiin,3,positif
1123,negara kalo pimpin pragibbrbrsecara alam dalam dunia politik bangsa negara kayak gin,-1,negatif
1124,atur tekuk sesuai penting pegang kekuasaanbrbrbrbetul banget anisss sindir tajam kuasa hisab allah,8,positif
1125,pencitraancm prabowo plastik,0,netral
1126,citra wajar joged kontrol emosi,-1,negatif
1127,kalo salahsatu mnghadapi brdebat presiden bgsa amp mnjga hrg kitamn pilih guys,2,positif
1128,kualitas bicara moga amanah,10,positif
1129,presiden turun orang jawa kecuali habibi lanjut kalo kasih jtpun pilih turun orang jawa dihinadicacimakidifitnahtetep orang jawa turun jawa presiden,-4,negatif
1130,ratarata isi komentar nya dukung amin yaa bismillah aniesmuhaimin for ri amin a href,5,positif
1131,anies ganjar debat kelas banget smart sopan brbrbeda prabowobremosian non etika brkasihan brdia bilang haus kekuasanbrtapi kali maju capresbr kali nya cawapres,3,positif
1132,wakanda no more brindonesia forever,0,netral
1133,negara diri gagas joget,-1,negatif
1134,anies akademis nya,0,netral
1135,amin,0,netral
1136,langsung paham dengar anies ragu pilih,0,netral
1137,wakanda no more indonesia forever,0,netral
1138,tunggu debat wapres bikin bingung wapres nya,2,positif
1139,amin the next presiden,1,positif
1140,tau jiga pimpin indonesia prabowo gibransaya khawatir masyarakatsaya harap kpu jujur adil maju indonesia,-4,negatif
1141,sesi nya tepatbermutu beril anis baswedan brinsyallah anis presiden indonesia,3,positif
1142,debat omong teori anis jago kerja nol,1,positif
1143,sabar gemoysian,5,positif
1144,gemas omong sok manisquotin wkwkw,-5,negatif
1145,coba kalo gubernur jakarta kalah anis heheh,-3,negatif
1146,kpubrbisakah laku orang bermartabatbracara murah memalukanbrsalah orang pimpin indonesia diri anak sd hukum kelas sorak ditepuktangani tonton juyga audisi kontes cari bakatbrpaling sedia podium kursi martabat,-9,negatif
1147,pilih prabowo kali pilih sepeertinya calon,-4,negatif
1148,bismillah dukung anis rasyid baswedan muhaimin iskandar presiden ri kabul doadoa ya allah negara butuh pimpin amin,15,positif
1149,doa lo kabul,0,netral
1150,satu msju,2,positif
1151,kacrutreall ganti peci tanduk sudzon trhdap tuhan,1,positif
1152,kacrutreall lo anjing lo tuhan,-1,negatif
1153,hahaha indonesia jakarta doangsabang merauke harap menang kali peluang nyaapalg rakyat nilai pandai bicara mampu jalan penting rakyat bnybukan rakyat gelintir,1,positif
1154,kalo debat keren isi kolom komentar isi ratarata dukung anies ya bukti orang beril cuman gemoy,2,positif
1155,jujur adil penting pribadi moga sukses h mudah amin amin amin,10,positif
1156,yaudahlah lihat ragu moga press,-2,negatif
1157,keluarga pilih no,-1,negatif
1158,khawatir indonesia pimpin pragib nasib indonesia maju kembang,-1,negatif
1159,amin presiden amin,3,positif
1160,anies baswedan bawa ubah indonesia maju kembang masyarakat anak muda bangsabrpasangan amin presiden wakil presiden,2,positif
1161,dukung anies all amin,4,positif
1162,pragib bingung ikut depat,-3,negatif
1163,kpu ri tolong debat debat debat,10,positif
1164,prabowo alam debat capres bingung ya siap kah,9,positif
1165,pekajustru citra ituaseli plastik,2,positif
1166,kasihan kelompok pragib tanggap paslon gilir pr agib patah paslon ajar data emosional gak suka pilih papaquot guna kampanye maritujuan kampanye tarik orang pilih dukung paslonakhirnya kerja keras pragib sia sia buang tenaga uang kalo pilih sayawell serah pakbelum mulaisudah menyerahlha kalo urus negara ambek emosional negara,-10,negatif
1167,mantappp a href indonesia,0,netral
1168,pikir indonesia pimpin pragib khawatir muncul,-7,negatif
1169,prabowo gibran benarbenar bingung ikut debat hadap pertanyaanpertanyaan bingung,0,netral
1170,ganjarrrrr,0,netral
1171,aduh dapat prabowo bingung debat prabowo akan serius,-4,negatif
1172,ya beril,4,positif
1173,jago retorikabr no ahhbr leadership,3,positif
1174,leader ship kedok motivator,0,netral
1175,fathimahazzahraitu pikir,-1,negatif
1176,tuju,-1,negatif
1177,prabowo gibran,0,netral
1178,kalo bucin tuh otak mata buta,-5,negatif
1179,prabowo gibran top markotop,5,positif
1180,ragu pilih pasang pragib prabowo kali kalah nyalon presiden,-2,negatif
1181,pragib sih orang glagaban debat anies khawatir pimpin,-1,negatif
1182,ragu pilih pasang pragib jawabanjawaban debat capres,2,positif
1183,pragib sih orang glagaban debat anies,3,positif
1184,bangsa maju sukses calon pimpin pasang pragib khawatir,3,positif
1185,program kerja anies positif bagus moga laksana presiden,8,positif
1186,ayo semangat pasang pragib prabowo berapiapi gibran loncatloncat seruuu debat main bola yah,14,positif
1187,bayang kalo ganjar tibatiba menang auto jungkir negara,3,positif
1188,ganjar bagus,0,netral
1189,pasang prabowo gibran kebingunan ikut debat tingkah jawabanjawabanya muas,4,positif
1190,anak muda dukung amin,-1,negatif
1191,moga wasit pemainbramin hati perubahanaamiin,-2,negatif
1192,amin orang cerdas jelas logis mudah erti,1,positif
1193,pilih presiden pintar praktek teori ganjar mahfud,3,positif
1194,public speakingnya anis bagus tenang salah teknik publik speaking gera tangan presiden nantiknya moga indonesia,-1,negatif
1195,pandai berdebatpandai rangkai katamanis bicara janjipercuma rakyat pinter kerjamana butuh negeri pandai nyata kalo pandai rangkai tukang obat jalan an ajdan profinsi tipu,-12,negatif
1196,rakyat sadar produk gagal reformasi anak haram konstitusi,-3,negatif
1197,indonesia tipu penting kuasa,2,positif
1198,nabi turun puasapalg jokowi kebnykn manusia munafik initoh bny contoh jabat jugaapakah puas dewasa nilai seseorangkita merekamereka puas publik hitung keseluruhanbukan hitung gelintir orang puas jokowi akhir jabat nya atas gampangsekaliber amerika demokratis tingkat puas inti fakta,12,positif
1199,bicara data sentimen pribadidan ente kalo puas cari media aplg jam now ditutupijadi akal sehat lantar benci samping akal logika sehat,-5,negatif
1200,pilih imam hidup keluarga musti selektif pilih imam hidup bernegarabrbrproses debat proses taaruf calon imam indonesiabrbrselain ikhtiar bumi musti libat zat langit doa pilih imam baik cinta rakyat rakyat cinta,-11,negatif
1201,pilih tulus citra,4,positif
1202,kalo lihat acara debat bismillh bulat no ganggu gugat,-1,negatif
1203,pasang amin top,9,positif
1204,best paslon no dewasa gagas real lanjut kalo janji manis iniitublablaitu rencana tau kalo rencana bny bicara teori nyata kenal pandai rangkai katakata manis teori retorikawaduhhhmau bawa mana negeri respect prabowo edukasi serang lawan prabowo partai setir partai beda suruh partai secar real biaya partainyamelahirkan balas budi cari untung setdknya pulang biaya bibir kerja rakyat,-13,negatif
1205,bisetelah debat keluarga tentu pilih anies baswedan pesan kpu netral ya lupaib,2,positif
1206,prabowo allin,0,netral
1207,doa baik negeri moga pilih bawa indonesia amin ya allah,8,positif
1208,sabar tunggu debat selanjutnyabrkarena forum calon pimpin uji kelayakannyabrbrterima kasih kpu kawal masyarakat indonesia,7,positif
1209,insyaallah anis tiada tanding kecuali curang,-5,negatif
1210,tara warga pilih anies,0,netral
1211,bismillah prabowo gibran presiden wakil presiden,10,positif
1212,anies inshaallahaminaamiin,0,netral
1213,aniss pintar kalo bicara maaf kerja tau jakarta jka banding ahok mana,-3,negatif
1214,presiden nya pragib negeri ya moga,8,positif
1215,indonesia pilih sesuai hati,1,positif
1216,presidennyaasal banteng,-3,negatif
1217,kali pragib calon presiden ri kali kalah pilpres dukung pragib pilih amin,1,positif
1218,angin ktp best moment puncak tolol,-8,negatif
1219,belimbing sayur otak dar paham anies,0,netral
1220,usergnginpj ckck nyata nya mudah uang triliun eh muter ujungujung nya jelasin apaapa kbnykan makan lem aibon,5,positif
1221,curhat no,-1,negatif
1222,hasil prabowo presiden kali mencapres,6,positif
1223,amin hati rakyat,0,netral
1224,prabowo bagussantai tegasanies kayak ajar kuliahpenjelasanya tele,-5,negatif
1225,oleng anis nih maaf prabowo oleng anis juang menang milu pindah haluan anis,-4,negatif
1226,pasti keluarga pilih pasang amin,6,positif
1227,ragu ya pilih pragib saksi sesi debat perdana kemarin presiden,6,positif
1228,amin,0,netral
1229,pragib bingung ikut depat siap kompoten pilih amin,-4,negatif
1230,debat kelas,0,netral
1231,mau alwi assegaf ri nya,4,positif
1232,paslon adapragib bingung dalammenyampaikan gagas,0,netral
1233,siap paslon no kalah telak anis,-6,negatif
1234,calon berkalikali,0,netral
1235,dukung prabowo kali ragu beliaubryakinnya anies hebat wibawa,1,positif
1236,bkalau video muhammad aisya min balas komentar oten goa hira kafir masehi abad tahunb,-2,negatif
1237,x nyalon x kalah eh nyalon prabowoini prabowo presiden,-1,negatif
1238,suka pasang no urut lengkap amin,5,positif
1239,x nyalon x kalah eh nyalon prabowoini prabowo presiden,-1,negatif
1240,indonesia baikbaik prabowogibran pimpin rekam jejak masa,-1,negatif
1241,mohon maaf prabowo kali kalah tarung pilpres pilih rekam jejak,-11,negatif
1242,dengar lagu milu adem bahagia brbrpemilihan panggil kitabrseluruh rakyat sambut gembirabrbrhak demokrasi pancasilabrhikmat indonesia merdekabrbrpilihlah wakil dipercayabrpengemban ampera setiabrbrdibawah uud brkita pilih,7,positif
1243,kali kalah nyalon pilih pragib,-6,negatif
1244,pilih prabowo debat kali ragu pilih prabowo,-4,negatif
1245,amin kak,0,netral
1246,tonton debat langsung urung hati pilih prabowo research paslon alhamdulillah tentu pilih amin,-5,negatif
1247,salam gemoy brprabowo jokowi brmenang putar,0,netral
1248,mas anies tahan oposisi jokowi prabowo besar hati oposisi jokowi perintah jokowi,-5,negatif
1249,debat kali khawatir indonesia pimpin pragib,-1,negatif
1250,lihat pasang pragib bingung ikut debat,7,positif
1251,bangboleh rangkum nggak,-2,negatif
1252,a href,0,netral
1253,prbwo sndriga penctraan kayak pintar omg sok agam maju prbwa dkng prbwo,2,positif
1254,pernyataanpernyataan prabowo pilih beliau argumen dangkal solusi minim,-9,negatif
1255,ih bener gue nya pilih prabowo malu lihat,1,positif
1256,please kali inijangan pakai kardus umumin malemdan mudah rakyat penjaradi caricari salah dukung oposisibrbrsemoga indonesiabenar wujud negara benarbenar demokrat,2,positif
1257,jaga tps jujur nya beli,1,positif
1258,banyak baca sholawat asyghil ye sodare,2,positif
1259,pilih pabowo semuasekarang alih anis,-2,negatif
1260,ayo riah milu bahagia damai beda pilih jaga saudara tuju,4,positif
1261,ganjar mahfud joss,2,positif
1262,takut pasang prabowogibran presiden prabowo temprament kontrol emosi,3,positif
1263,indonesia pimpin paslon integritas asal tanggung pimpin serius bahaya pimpin paslon serius,-17,negatif
1264,pasang pragib ketarketir bingung ikut debat,4,positif
1265,indonesia baikbaik prabowogibran pimpin rekam jejak masa,-1,negatif
1266,bahasa tubuh kayak prabowo debat pancing emosi ya capresnya wacapresnya,-5,negatif
1267,prabowo tenang kalo bicara debat anies is the best,7,positif
1268,megalomamia politik identitas lidah mertua,-1,negatif
1269,kpu adil jujur bangsa aman maju,4,positif
1270,kirakira negara ya kalo pimpin pragib,4,positif
1271,rakyat ubah brkt haji tunggu mahal anies baswedan presiden,3,positif
1272,dieal anies baswedan presiden indonesia,3,positif
1273,beliau salon kali takut salah perintah terburuburu,-7,negatif
1274,gaspoll bro prabowo gibran indonesia maju,0,netral
1275,banget pasang gibran prabowo bingung haha,5,positif
1276,pilih prabowo track recordnyabrapalagi gibran bau kencur,-6,negatif
1277,buagus coba debat simple elegant fokus okeh,8,positif
1278,khawatir indonesia pimpin pragib dikit joget wkwkwk,-5,negatif
1279,prabowo kelas generasi muda all prabowo presiden,-5,negatif
1280,kali calon presiden kalah terusbr ragu pasang pragib menang,-1,negatif
1281,ragu pasang pragib menangkrn kali calon kalah,-3,negatif
1282,pragib orang bingung ikut debat kpu sikap adil jujur,6,positif
1283,tonton debat capres pertamakami ragu pilih pasang pragib,-2,negatif
1284,khawatir nasib negara indonesia pimpin prabowo gibran prabowo sakit gibran pimpin negara,-9,negatif
1285,masuk ustadz adi hidayat bagus realisasi debat a href,0,netral
1286,prabowo kali kalah nyalon bikin ragu dukung pilih pasang amin,-1,negatif
1287,pragib menang indonesia ubah buruk,-6,negatif
1288,ragu pilih pasang pragib debat,2,positif
1289,debat kubu pragib bingung debat siap matang,7,positif
1290,puas debat capres harap kpu sempat caprescawapres visi misi detail rinci masyarakat nilai paham gagas capres adu urat adu syaraf adu dapat ujung perang syaraf untung adu jotoskrn serang debat brkpu luas masingmasing capres papar gagas visi misi terang debat memuaskankrn cukupbrmasak gagas visi misis masingmasing capres pimpin bangsa indonesia duduk besar dunia bawa menit kayak adu finalti ah,-3,negatif
1291,khawatir indonesia runyam pimpin pasang pragib,-5,negatif
1292,buat bingung pilih anies keren calon presiden,2,positif
1293,pasang pragib gugup bingung ikut debat,-1,negatif
1294,prabowo orang bingung gibran pandu sorak team kalah kutik,-3,negatif
1295,pilih mnang ganjar mahfud ayo dukung gama,8,positif
1296,prabowo bicara malu,-2,negatif
1297,ganjar mahfud pilih mnang ayo dukung gama,8,positif
1298,prabowo emosi,-1,negatif
1299,harap indak paslon presiden indonesia tolong rakyat butuh suara datang rakyat hal suara janji kau ucap hutang bayar bruntuk salon harap bohong rakyat janji seman madu lupa pilih lupa mula pejabatbruntuk kpu adil condong salah paslonbrsemangat,-39,negatif
1300,moga kpu jaga slogan jujur adil pilih calon tunjuk integritas jiwa pimpin bangga pilih,3,positif
1301,penting jaga nkri berbedabeda bangsabahasa bangun negri rubah baiktar tambah karuan,1,positif
1302,anies is the best,0,netral
1303,khawatir indonesia pimpin prabowo moga presiden indonesia,0,netral
1304,no ide nih paslon pragib terus bapak bapak aja aduh indonesia kalo pimpin kayak gin,-4,negatif
1305,maju anies khawatir indonesia pimpin pragib,-4,negatif
1306,khawatir bro anis dukung rohingya masuk indonesia partai pksklo kpilih rohingya masuk indonesia indonesia jajah kayak platina isriwil,-14,negatif
1307,usertnvntbekbanyakan tonton pilem,-4,negatif
1308,usertnvntbebener data anis ungsi rohingya masuk indonesia khawatir gue ungsi tetap indonesia,-7,negatif
1309,ganjar mahfud pasang dwi tunggal kwalitasnya ragu intelektual religiusbrpemimpin indonesia amin,6,positif
1310,pragib panik hadap debat biar publik faham ya moga tanya,2,positif
1311,prabowo kayak siswa bingung pas suruh maju jelasin ajar depan kelas ya,0,netral
1312,nge calon pilih prabowo nge calon tiga oh menang,-3,negatif
1313,debat paslon pragib kesiap data bicara gelagap pancing emosisayang,-2,negatif
1314,debat calon presiden martabat sedia podium calon kes kayak rendah panjang tuntas dapat,12,positif
1315,ragu pilih pragib kali nyalon kalah,-9,negatif
1316,ragu no prabowo gibran tonton debat,-4,negatif
1317,moga rakyat cerdas pilih calon presiden suka sosok cerdas dalam latar belakang visi misi,9,positif
1318,keren maju bowoooooo aylapppyuuuufullll,0,netral
1319,dukung wowo ets haha kalah kali malu dukung sampeyan ubah pilih pasang amin,4,positif
1320,ragu pilih pasang pragib pilih no bukti cerdas,-6,negatif
1321,sehat capres no kali milu pilih move on pilih no,-1,negatif
1322,khawatir indonesia pimpin pasang pragib cawapresnya hhhmm lahir undang undang dada,7,positif
1323,calon nomor urut bingung debat,3,positif
1324,moga debat capres wacapres tuju positif rakyat indonesia utama etika moral diskusi musyawarahtdk hujat tata atur hukum dasar debat,10,positif
1325,haha pragib lucu ya banget bingung hadap debat,9,positif
1326,mampu prabowo x gagal presiden gibran tuntas walikota,-1,negatif
1327,pilih prabowo debat aga ragu ya tanggap nya resmi pilih amin,5,positif
1328,rame dukung debat makna usul kpu debat dukung aja mesti meja tulis coret calon kasihan diri gitu kalo panelis langsung ambil bola kayak undi turnamen aja sanggah tambah cuman menit total debat jam bagus,17,positif
1329,anies is the best,0,netral
1330,khawatir indonesia pegang prabowo gibranamin baik,-4,negatif
1331,bayang prabowo pilih presiden ragu amp khawatir nasib bangsa indonesia depan calon halal,-4,negatif
1332,betapa keri bayang indonesia pimpin prabowo gibran debat kali capresnya labil kuasa panggung cawapresnya provokatif debat hufftt moga indonesia pimpin,8,positif
1333,prabowo kalah jokowi kali kualitas nya debat kali gemoy emosi orang bingung cecar putus,0,netral
1334,bicara sikap prabowo gibran ragu pilih paslon tsbamin,-3,negatif
1335,paslon pakai dresscode biru kuasa data panggung ajar yaa,-2,negatif
1336,prabowo gibran bingung kontrol esmosi dukung bp anies baswedan cak iminamin,4,positif
1337,masyrakat awan menilaidebat cawapres perdana unggul adlah cawpres nol makanx harap menang anis baswedan amin,-4,negatif
1338,utang kredit susah menang bang butuh calon presiden enga suka ngutang,-8,negatif
1339,itoknamboruini gantung agama anut budaya,-7,negatif
1340,negara utang diduniaamerika kenal aja utang jau besarmesti ajar skill dimedsos dasar pra sangka no data,-11,negatif
1341,itoknamboru hubung nya woi ucap assalamualaikum doa kafir ya,3,positif
1342,bowo nyalon kali kalah gibran muda alam ragu pilih nya,-10,negatif
1343,pokok cringe min min min mulu kerja kalo pilih wkwkkw,1,positif
1344,kali kalah pilpres prabowo kali menang sih,-5,negatif
1345,prabowo alam gibran muda alam dunia politik aga ragu pilih nya,-7,negatif
1346,nya dukung no yah,4,positif
1347,mkmk langsung nge gass ya,7,positif
1348,mantap nmer aamien,5,positif
1349,emosi prabowo ya gaya bicara emosi,2,positif
1350,kalo debat tahu orang kayak gimana timses pragib kayak paham lontar,-3,negatif
1351,x nyalon gagal mulu anis menang,-4,negatif
1352,arogansi bangun pragib khawatir rezim,-4,negatif
1353,nasib bangsa depan pimpin pragib harap harap cemas,-3,negatif
1354,debat pragib bingung anis pilih,1,positif
1355,akak anies kalo milu isu goreng kali isu ordal senjata prabowo mengcounter bilang pimpin sejuk pimpin arif wayolo anies,1,positif
1356,kawatir pasang pragib menang alam satu ambisi moga rakyat indonesia pintar pilih presiden,12,positif
1357,pasang no materi brefing deh kadang sesuai realita indak pilih dlmereka,8,positif
1358,aduh nih paslon debat,1,positif
1359,anis top,5,positif
1360,khawatir pimpin pragib parah kondisi,-9,negatif
1361,debat capres tentu jati presiden masa lihat kerja duluan tentu pilih blunder pilih takut jago bicara janji ajabrbrtapi pabrawo gibran pikir cerah bpk jokowi lanjut mesti beda,-8,negatif
1362,pabrawo gibran pikir cerah bpk jokowi lanjut mesti beda,-9,negatif
1363,lesgooooo,0,netral
1364,harga capres cawapres layak orang hebat bangga indonesia bangga dukung picu pecah isu milu bikin grup wa bubar contoh betapa pengaruh nya terimakasih saksi debat terang goreng politik dinasti paslon kali kali jadi senjata serang tuntas respek paslon paslonnya adem ayem sentil kadang paslon canda fokus isu calon gibran semangat goreng prabowo come on milu nya ayo lari kalo baik ya orang pilih duduk pegang kuasa selesai kalo paslon jujur sakit hati ucap salah media komentar sensitif mbak nana lulus baik dosen isu quotkaisar ramah sekaliquot rendah saya tau bilang sih pena prabowo proper sungguh harap banget paslon fokus kompetisi ide gagas utama damai bingung pilih redflag mata nilai pribadi singgung rakyat antusias politik negara debat semangat calon pimpin bangsa jaga sehat,15,positif
1365,capres cerdasbranehnya cerdas survey nya unggul hadeuhhhh,0,netral
1366,paslon modal sindir menang sumpah marah sih tau ucap muncul benci sadar orang pandang pengaruh pecah belah gmn twitter buzzernya kendali tolong picu pecah muncul moral bangsa gantung pimpin dukung ngomporin salah dukung panas,-16,negatif
1367,prabowo pandang luas jujur ngangkat isu sensitif,7,positif
1368,a href prabowo dengar perhati mc atur debat kayak orang ambisius ah,2,positif
1369,a href visi misi contoh elah,2,positif
1370,tolong masuk tanggap capres ungsi rohingya gerang rakyat gerang denga perilaku rohingyabrbrsemoga paslon,3,positif
1371,pra gib aneh yabramin maju,0,netral
1372,anies,0,netral
1373,nih paslon debat canda jalan program kerjany,0,netral
1374,inti pilih capres tolak ikn,-6,negatif
1375,pasang nomor urut anies imin pasang serasi lengkap cerdas pintar santun,9,positif
1376,program kerja prabowo emosi meldak tambah pilih cawapres pada,-1,negatif
1377,debat malam anies savage banget keren cerdas pintar mudah erti paham,6,positif
1378,cawapres gagas isi kosong,-7,negatif
1379,anies gubernur jakarta sukses amatmasih pr banjir macetganjar gubernur jateng prestasi menonjolkasus batang prabowo menhan bagusbagus amatjadi kurang,-4,negatif
1380,pilih pragibbrsetelah kali nyalonin kalah,-6,negatif
1381,moga kpu martabat awal milu netral,6,positif
1382,pragibbrsoalnya beliau orang temprament,0,netral
1383,prabowo keren garang yah jadi indonesia macan asia jokowi,-6,negatif
1384,rusuh ya kalo tonton timses,-3,negatif
1385,prabowogibran indonesia,0,netral
1386,khawatir indonesia pimpin prabowo gibran bijak perintah rencana,-7,negatif
1387,ragu pasang pragib,1,positif
1388,prabowo gibran bingung ikut debat tampak elektabilitas intelektual uji,2,positif
1389,khawatir indonesia pimpin pragib masalalu anti demokrasi,-6,negatif
1390,program prabowo gibran lanjut program efektif ubah indonesia,2,positif
1391,perhati pragib bingung ikut debat,0,netral
1392,sih pilih pragib kali kalah nyalonin,-6,negatif
1393,jujur program kerja pragib,5,positif
1394,ragu sih rada ya kalo pragib mimpin,1,positif
1395,sih kalo pragib mimpin,0,netral
1396,rada bingung sih kerja pragib,2,positif
1397,anis cocok presiden wawas luas bukti data beliau baik,3,positif
1398,all prabowo sih,0,netral
1399,anis baswedan canggih profesor asam sulfat ajar ngomong cawapres teriak dasar otak kosong,-10,negatif
1400,orang keren bang anies dukun apa komentar orang tentang,-7,negatif
1401,pandai kali cakap anis eksekutor,-2,negatif
1402,orang jkarta sih,0,netral
1403,pilih pimpin cerdas akhlak yg pikir cepat yg rubah negeri negeri adil lu,2,positif
1404,kga seru debat,3,positif
1405,kuasa bisnis kuasa uang kuasa hormat jalan daulat rakyat,16,positif
1406,anis baswedan pandai rangkai rangkai kota,-9,negatif
1407,kalo cerdas pandai bicara indonesia masyarakat pejabatbrtapi indonesia butuh pimpin adil bijak benarbenar penting rakyat bicara bukti peduli bangsa benah,-6,negatif
1408,ganjar mahfud baik indonesia,4,positif
1409,aniesss,0,netral
1410,h anies rasyid baswedan mpp phd pimpin kelas dunia br majalah bulan muka jepang foresight cantum anies baswedan salah orang ubah dunia br majalah foreign policy nobat anies baswedan intelektual dunia br world economic forum nobat anies baswedan young global leaders,-5,negatif
1411,serius nanya prabowo presiden negara,-3,negatif
1412,kali calon kali gagal tanda alam coblos pragib coblos amin,-5,negatif
1413,lehat debat aneh calon wakel celeng kena jerat,0,netral
1414,terang pilih nya prabowo kawatiran pimpin negara indonesia mawut ide gagas nya nyalon bobot masuk akal,-9,negatif
1415,dasar nya prabowo kalo ajak debat elak tanda wawas luas,2,positif
1416,coblos pragib lihat debat capres anies pas presiden ri,12,positif
1417,gagas ide paslon no masuk akal bobot nyalon presiden loh walikota pimpin negara sabang merauke main,-3,negatif
1418,menyakinkan paslon no capres paksa kalah x capres,-8,negatif
1419,bangsa pimpin orang beril wawas luas alam dukung pragib,8,positif
1420,ragu kalo debat nya prabowo kayak,-3,negatif
1421,semogapetugas kpps besok sehat selesaitidak milu laluaamiin ya robbalaalamiin,7,positif
1422,indonesia maju tangan prabowo amp gibran,1,positif
1423,gassspollll broooo prabowo gibran indonesia majuuuu,0,netral
