komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment
kepada kpu ri mohon dibuatkan semacam iklan himbauan kepada para orangtua yang mempunyai anak yang baru menjadi pemilihpunya hak suara memberitakan edukasi bijaksana bahwa pakai hak suara dengan tentukan pilihanmu pelajari calon presiden yang akan kalian pilih sendiri,"['kpu', 'ri', 'mohon', 'buat', 'iklan', 'himbauan', 'orangtua', 'anak', 'pemilihpunya', 'hak', 'suara', 'berita', 'edukasi', 'bijaksana', 'pakai', 'hak', 'suara', 'tentu', 'pilih', 'ajar', 'calon', 'presiden', 'pilih']",-13,negatif,-1,Negatif
tetap dukung palestina,"['dukung', 'palestina']",4,positif,1,Positif
gapeduli sejahat apapun fitnah2 yang dilontarkan para buzzer sejak bapak jadi menteri pendidikan gubernur jakarta dan sampai sekarang saya selalu mendukung dan mendoakan yang terbaik untuk bapak pesan saya jaga niat baik bapak untuk rakyat dengan tetap menjadi pemimpin yang tidak mudah diinterfensi oleh pihak manapun dalam mengambil keputusan semoga bapak selalu dikelilingi oleh orangorang baik dan dijauhkan dari orangorang berkhianat,"['gapeduli', 'jahat', 'apa', 'fitnah2', 'lontar', 'buzzer', 'menteri', 'didik', 'gubernur', 'jakarta', 'dukung', 'doa', 'baik', 'pesan', 'jaga', 'niat', 'rakyat', 'pimpin', 'mudah', 'diinterfensi', 'mana', 'ambil', 'putus', 'moga', 'keliling', 'orangorang', 'jauh', 'orangorang', 'khianat']",-14,negatif,-1,Negatif
memang dia pernah jadi mentri pendidikan ya,"['tri', 'didik', 'ya']",4,positif,1,Positif
dulu waktu kecil diajarkan belajar bahasa indoenesia brselamat pagi brselamat siangbrselamat malambrsampai jumpa brsekarang ucapan itu sudah enggak ada lagi sudah jarang digunakan karena kebanyakan rakyat indonesia sekarang sudah ke arab araban sudah mulai menghapus bahasa dan budaya indonesia jadi baru teringat kemarin aku bilang selamat pagi kepada teman ku teman ku bilang quot kok selamat pagi sih assalamualaikum dongquot brbrbrlama2 bahasa daerah pun akan digantikan sama bahasa arab,"['ajar', 'ajar', 'bahasa', 'indoenesia', 'brselamat', 'pagi', 'brselamat', 'siangbrselamat', 'malambrsampai', 'jumpa', 'brsekarang', 'ucap', 'jarang', 'banyak', 'rakyat', 'indonesia', 'arab', 'arab', 'hapus', 'bahasa', 'budaya', 'indonesia', 'kemarin', 'bilang', 'selamat', 'pagi', 'teman', 'ku', 'teman', 'ku', 'bilang', 'quot', 'selamat', 'pagi', 'sih', 'assalamualaikum', 'dongquot', 'brbrbrlama2', 'bahasa', 'daerah', 'ganti', 'bahasa', 'arab']",-18,negatif,-1,Negatif
halu loh,"['halu', 'loh']",0,netral,0,Negatif
amin memang cocok ikut capres karena pasangan ideal,"['amin', 'cocok', 'capres', 'pasang', 'ideal']",8,positif,1,Positif
bila jadi presiden semoga pasangan amin bertanggung jawab dan amanah,"['presiden', 'moga', 'pasang', 'amin', 'tanggung', 'amanah']",11,positif,1,Positif
sudah yakin memilih amin,"['pilih', 'amin']",-2,negatif,-1,Positif
pintar sekali amin menjelaskan hal sesuatu keren sekalli,"['pintar', 'amin', 'keren', 'sekalli']",0,netral,0,Netral
semua memilih aminbrsemua dukung amin,"['pilih', 'aminbrsemua', 'dukung', 'amin']",2,positif,1,Positif
ialah orang dia yang cerdas,"['orang', 'cerdas']",0,netral,0,Positif
semoga yang sudah mencalonkan diri dua kali juga bisa pikir dua kali juga buat bisa jadi capres di masa yang akan datang ayok guys enggak usah mikir panjang lagi sudah jelas banget,"['moga', 'calon', 'kali', 'pikir', 'kali', 'capres', 'ayok', 'guys', 'mikir', 'banget']",1,positif,1,Positif
anak muda sekarang dukungnya amin dong,"['anak', 'muda', 'dukung', 'amin']",-1,negatif,-1,Positif
sangat mantap program kerja yang dibuat oleh pasangan amin ini,"['mantap', 'program', 'kerja', 'pasang', 'amin']",11,positif,1,Positif
semoga pemilu nanti jujur dan pak anis bisa menjadi presiden 2024,"['moga', 'milu', 'jujur', 'anis', 'presiden', '2024']",7,positif,1,Positif
amin selalu dihati rakyat,"['amin', 'hati', 'rakyat']",0,netral,0,Positif
pasangan amin the next presiden ri,"['pasang', 'amin', 'the', 'next', 'presiden', 'ri']",5,positif,1,Positif
amin cerminan pemimpin bangsa indonsesia,"['amin', 'cermin', 'pimpin', 'bangsa', 'indonsesia']",3,positif,1,Positif
kita selalu berikan doa yang terbaik buat amin ya,"['doa', 'baik', 'amin', 'ya']",6,positif,1,Positif
warga jawa selalu dukung amin,"['warga', 'jawa', 'dukung', 'amin']",4,positif,1,Positif
btw yang sudah 2x mencalonkan diri lalu gagal itu lah yang membuat kita jadi enggak yakin kalo memilih pasangan pragib mending yang pastipasti saja guys,"['btw', '2x', 'calon', 'gagal', 'kalo', 'pilih', 'pasang', 'pragib', 'mending', 'pastipasti', 'guys']",-2,negatif,-1,Negatif
sip memilih amin saya dan keluarga besar saya,"['sip', 'pilih', 'amin', 'keluarga']",-1,negatif,-1,Negatif
perkara yakin dan tidaknya kita do3akan saja untuk semua yang terbaik,"['perkara', 'tidak', 'do3akan', 'baik']",-7,negatif,-1,Negatif
ya allah semoga kpu netral,"['ya', 'allah', 'moga', 'kpu', 'netral']",10,positif,1,Positif
amin sosok pasangan capres yang saling melengkapi,"['amin', 'sosok', 'pasang', 'capres', 'lengkap']",3,positif,1,Positif
keren banget pak anies gagah dan berani seperti pemimpin,"['keren', 'banget', 'anies', 'gagah', 'berani', 'pimpin']",5,positif,1,Positif
1 vs 2 kalah,"['1', 'vs', '2', 'kalah']",-4,negatif,-1,Negatif
wah saya sebenarnya khawatir juga kalau dipimpin sama pragib tapi semoga saja semua calon bisa menunjukkan kepemimpinan nya dan bijak kalau mau mengambil keputusan dan kita semua jangan sampai gegabah deh kalo memilih calon pemimpin buat masa depan kita juga soalnya,"['khawatir', 'pimpin', 'pragib', 'moga', 'calon', 'pimpin', 'nya', 'bijak', 'ambil', 'putus', 'gegabah', 'deh', 'kalo', 'pilih', 'calon', 'pimpin']",-18,negatif,-1,Negatif
keren banget pak anies duulu pernah jadi gubernur,"['keren', 'banget', 'anies', 'duulu', 'gubernur']",1,positif,1,Positif
semangat buat debat pertama maju dan terdepan,"['semangat', 'debat', 'maju', 'depan']",6,positif,1,Positif
no 1 pintar dalam berbicarabrgue enga suka calon presiden punya utang kredit takut negara tambah ngutang nantibrya apa boleh buat antara no 1 dan 3 saja lah yang penting jujur dan tidak menambah utang negara,"['no', '1', 'pintar', 'berbicarabrgue', 'enga', 'suka', 'calon', 'presiden', 'utang', 'kredit', 'takut', 'negara', 'ngutang', 'nantibrya', 'no', '1', '3', 'jujur', 'tambah', 'utang', 'negara']",0,netral,0,Negatif
semangat kpu untuk indonesia maju dan terdepan,"['semangat', 'kpu', 'indonesia', 'maju', 'depan']",3,positif,1,Positif
saya tidak yakin dengan pasangan pragib sebagai pemimpin indonesia nantinya setelah sebelumnya pak prabowo kalah 2 kali dalam pemilu,"['pasang', 'pragib', 'pimpin', 'indonesia', 'prabowo', 'kalah', '2', 'kali', 'milu']",0,netral,0,Negatif
saya telah memberikan dukungan pada pragib selama dua pemilu namun setelah kekalahan di dua pemilu saya merasa ragu untuk tetap memilih mereka saya harap pragib dapat menunjukkan perubahan yang kuat untuk memenangkan kepercayaan kembali,"['dukung', 'pragib', 'milu', 'kalah', 'milu', 'ragu', 'pilih', 'harap', 'pragib', 'ubah', 'kuat', 'menang', 'percaya']",-5,negatif,-1,Negatif
setelah mencalonkan diri 2 kali dan gagal apakah pak prabowo sudah mengkaji ulang penyebab yang menjadikan suara pemilih anda cuman sedikit,"['calon', '2', 'kali', 'gagal', 'prabowo', 'kaji', 'ulang', 'sebab', 'jadi', 'suara', 'pilih', 'cuman']",-1,negatif,-1,Negatif
sehebat apapun debatnya kami rakyat indonesia butuh kerja nyata bukan hanya hebat dalam berkata,"['hebat', 'apa', 'debat', 'rakyat', 'indonesia', 'butuh', 'kerja', 'nyata', 'hebat']",-1,negatif,-1,Positif
bagus supaya kita bisa tahu bobot pilihan pemimpin kita nanti,"['bagus', 'bobot', 'pilih', 'pimpin']",-7,negatif,-1,Negatif
semoga indonesia mendapatkan karunia pemimpin yang jujur cerdas berintegritas komunikatif mementingkan rakyat anies baswedan amin,"['moga', 'indonesia', 'karunia', 'pimpin', 'jujur', 'cerdas', 'integritas', 'komunikatif', 'penting', 'rakyat', 'anies', 'baswedan', 'amin']",7,positif,1,Positif
pragib seperti yang kebingungan mengikuti debat ini bagaimana mimipin indonesia,"['pragib', 'bingung', 'ikut', 'debat', 'mimipin', 'indonesia']",0,netral,0,Positif
antara pak anies dan pak ganjar bingung mau pilih yang mana nanti pas ke tps,"['anies', 'ganjar', 'bingung', 'pilih', 'pas', 'tps']",3,positif,1,Positif
istihoroh,['istihoroh'],0,netral,0,Positif
pangerancinta3 saran yang bagus,"['pangerancinta3', 'saran', 'bagus']",-3,negatif,-1,Negatif
belum ada yang srek malah sareng buka aib lawanmasih saling serang apa ketika nanti mereka terpilih akan balik merenyerang ketika di kritik enggak ada yang fokus sama fisi misi nya malah lebih saling menjelekkan kekurangan lawan,"['srek', 'sareng', 'buka', 'aib', 'lawanmasih', 'serang', 'pilih', 'merenyerang', 'kritik', 'fokus', 'fisi', 'misi', 'nya', 'jelek', 'kurang', 'lawan']",-25,negatif,-1,Negatif
prabowo sudah tua tidak mudah lagi sebaiknya istirahat karena kesehatanya,"['prabowo', 'tua', 'mudah', 'istirahat', 'kesehatanya']",-3,negatif,-1,Negatif
2 kali saya dukung prabowo kali saya sudah tidak dukung lagi karena terlalu ambisius,"['2', 'kali', 'dukung', 'prabowo', 'kali', 'dukung', 'ambisius']",8,positif,1,Positif
jadi ragu memilih prabowo karena jawabannya tanda data hanya mengandalkan fiksi,"['ragu', 'pilih', 'prabowo', 'jawab', 'tanda', 'data', 'andal', 'fiksi']",-8,negatif,-1,Negatif
anis baswedan terbaik,"['anis', 'baswedan', 'baik']",2,positif,1,Positif
insyallah anies presidenku,"['insyallah', 'anies', 'presiden']",3,positif,1,Positif
saya termasuk yang fanatik dengan paslon no2brtapi melihat debat capres kemarin melihat performa pasangan no2 saya jadi ragu untuk memilih pasangan no2,"['fanatik', 'paslon', 'no2brtapi', 'debat', 'capres', 'kemarin', 'performa', 'pasang', 'no2', 'ragu', 'pilih', 'pasang', 'no2']",6,positif,1,Positif
melihat debat pertama ini jadi khawatir juga prabowo jadi memimpin indonesia nanti karena terlalu gampang tersulut emosi,"['debat', 'khawatir', 'prabowo', 'pimpin', 'indonesia', 'gampang', 'sulut', 'emosi']",-1,negatif,-1,Negatif
melihat debat capres kemarin memang cukup seru mereka berani saling menyerangbrtapi melihat performa pasangan no2 saya jadi khawatir jika indonesia depimpin oleh mereka,"['debat', 'capres', 'kemarin', 'seru', 'berani', 'menyerangbrtapi', 'performa', 'pasang', 'no2', 'khawatir', 'indonesia', 'depimpin']",3,positif,1,Positif
apa saya yang pendidikannya rendah ya kok enggak paham sama perkataannya pak anis,"['didik', 'rendah', 'ya', 'paham', 'kata', 'anis']",-2,negatif,-1,Negatif
masing capres bagus ada kekurangan wajar sempurna milik allah,"['capres', 'bagus', 'kurang', 'wajar', 'sempurna', 'milik', 'allah']",-1,negatif,-1,Positif
ingat teori saja tidak akan cukup dengan tanggung jawab yang besar tetapi harus dengan sikap yang tegas lugas dan bertanggung jawab itu poin paling penting untuk seorang pemimpin,"['teori', 'tanggung', 'sikap', 'lugas', 'tanggung', 'poin', 'pimpin']",4,positif,1,Positif
debat ini membuat yang ragu memilih pak anies jadi memilih pak anies dan yang mendukung pak anies jadi memantapkan pilihannya untuk pak anies,"['debat', 'ragu', 'pilih', 'anies', 'pilih', 'anies', 'dukung', 'anies', 'mantap', 'pilih', 'anies']",3,positif,1,Positif
start,['start'],0,netral,0,Netral
it3s like anies vs everybody come on bring itu on,"['it3s', 'like', 'anies', 'vs', 'everybody', 'come', 'on', 'bring', 'on']",0,netral,0,Netral
banyak banget akun kali ya di comment ini,"['banget', 'akun', 'kali', 'ya', 'comment']",5,positif,1,Positif
kami rindu presiden seperti pak anies semoga allah ridhoi pak anies baswedan jadi presiden indonesia amin ya allah,"['rindu', 'presiden', 'anies', 'moga', 'allah', 'ridhoi', 'anies', 'baswedan', 'presiden', 'indonesia', 'amin', 'ya', 'allah']",20,positif,1,Positif
ya jelas lah lu penghianatmerapat dengan penguasa,"['ya', 'lu', 'penghianatmerapat', 'kuasa']",7,positif,1,Positif
dalam debat itu pak prabowo gesture dan emosional nya gampang terpancing anis relatif lebih santun dan tidak mudah terpancing indonesia butuh pemimpin yang emosionalnya stabil,"['debat', 'prabowo', 'gesture', 'emosional', 'nya', 'gampang', 'pancing', 'anis', 'relatif', 'santun', 'mudah', 'pancing', 'indonesia', 'butuh', 'pimpin', 'emosional', 'stabil']",7,positif,1,Positif
pak prabowo bagaimana bisa meyakinkan rakyat indonesia untuk memilih anda menjadi presiden jika jawaban2 dari pertanyaan sungguh membingungkan,"['prabowo', 'rakyat', 'indonesia', 'pilih', 'presiden', 'jawaban2', 'sungguh', 'bingung']",4,positif,1,Positif
memperkuat maka sebagai pengambilan keputusan sengketa hasil pemilu sangat prnting dan atau skala prioritas sebelum terlaksananya pemilu 14 februari 2024 siap kalah siap menang semoga indonesia abad 22 lebih baik amin yra,"['kuat', 'ambil', 'putus', 'sengketa', 'hasil', 'milu', 'prnting', 'skala', 'prioritas', 'laksana', 'milu', '14', 'februari', '2024', 'kalah', 'menang', 'moga', 'indonesia', 'abad', '22', 'amin', 'yra']",-9,negatif,-1,Negatif
anies terbaik,"['anies', 'baik']",2,positif,1,Positif
kemampuan pak prabowo untuk memimpin indonesia sungguh sangat tidak meyakinkan meskipun didukung oleh gibran yang masih muda,"['mampu', 'prabowo', 'pimpin', 'indonesia', 'sungguh', 'dukung', 'gibran', 'muda']",3,positif,1,Positif
beberapa keraguan muncul terkait pilihan pasangan prabowogibran pemilihan calon pemimpin memang keputusan yang penting dan wajar jika masyarakat memiliki pertanyaan dan kekhawatiran,"['ragu', 'muncul', 'kait', 'pilih', 'pasang', 'prabowogibran', 'pilih', 'calon', 'pimpin', 'putus', 'wajar', 'masyarakat', 'milik', 'khawatir']",-11,negatif,-1,Negatif
ganjarmahfud top dan sudah teruji,"['ganjarmahfud', 'top', 'uji']",6,positif,1,Positif
ada kekhawatiran yang muncul jika indonesia dipimpin oleh pragib perlu dipertimbangkan dengan serius dampak kebijakan dan visi kepemimpinan yang mungkin berbeda dengan harapan masyarakat mari kita cermati dan berdiskusi secara konstruktif untuk memahami lebih dalam,"['khawatir', 'muncul', 'indonesia', 'pimpin', 'pragib', 'timbang', 'serius', 'dampak', 'bijak', 'visi', 'pimpin', 'beda', 'harap', 'masyarakat', 'mari', 'cermat', 'diskus', 'konstruktif', 'paham']",-9,negatif,-1,Negatif
walau pun pernah gagal kali ini pasti menang,"['gagal', 'kali', 'menang']",-5,negatif,-1,Negatif
menonton dan mendengar apa yang disampaikan pak prabowo saya jadi kuatir kemampuan beliau untuk memimpin indonesia masa depan indonesia akan menjadi tanda tanya,"['tonton', 'dengar', 'prabowo', 'kuatir', 'mampu', 'beliau', 'pimpin', 'indonesia', 'indonesia', 'tanda']",-6,negatif,-1,Positif
prabowo dan gibran pasti menang pasti no 1,"['prabowo', 'gibran', 'menang', 'no', '1']",-1,negatif,-1,Negatif
banyak buzzer amin di komentar youtube wkwkkw,"['buzzer', 'amin', 'komentar', 'youtube', 'wkwkkw']",0,netral,0,Netral
bangga jadi warga negara indonesiasiapapun presidennya indonesia pasti maju,"['bangga', 'warga', 'negara', 'indonesiasiapapun', 'presiden', 'indonesia', 'maju']",6,positif,1,Positif
ragu memilih pakprabowo gibran seperti yang kita tau programnya kebanyakan meneruskan yang sudah ada tidak ada kemajuan,"['ragu', 'pilih', 'pakprabowo', 'gibran', 'tau', 'program', 'banyak', 'terus', 'maju']",-9,negatif,-1,Negatif
saya tidak yakin sama pasangan paragibkena di debat ini kalah mutlak,"['pasang', 'paragibkena', 'debat', 'kalah', 'mutlak']",0,netral,0,Negatif
junjung selalu sportifitas untuk indonesian adil dan makmur semangat,"['junjung', 'sportifitas', 'indonesian', 'adil', 'makmur', 'semangat']",6,positif,1,Positif
setiap pertanyan pak prabowodan selalu menjawab dengan tidak serius indonesian butuh pemimpin yang serius jangan buat main2 ragu dengan pak prabowodan program nya tidak masuk akal,"['pertanyan', 'prabowodan', 'serius', 'indonesian', 'butuh', 'pimpin', 'serius', 'main2', 'ragu', 'prabowodan', 'program', 'nya', 'masuk', 'akal']",-21,negatif,-1,Negatif
menurut saya untuk debat kali ini pasangan paragib kurang memuaskan,"['debat', 'kali', 'pasang', 'paragib', 'muas']",12,positif,1,Positif
amin pasangan yang ideal untuk jadi capres cawapres cerdas berpengalaman dan usia ideal muda,"['amin', 'pasang', 'ideal', 'capres', 'cawapres', 'cerdas', 'alam', 'usia', 'ideal', 'muda']",9,positif,1,Positif
kami tidak yakin pragib bisa menangkarena prabowo sudah dua kali nyalon saja kalahkarena sebagian besar rakyat tidak memilihnya,"['pragib', 'menangkarena', 'prabowo', 'kali', 'nyalon', 'kalahkarena', 'rakyat', 'pilih']",-2,negatif,-1,Negatif
ya mudahmudahan kalo paragib jadi bisa bikin indonesia maju,"['ya', 'mudahmudahan', 'kalo', 'paragib', 'bikin', 'indonesia', 'maju']",4,positif,1,Positif
anies omong doang gede mengurus jakarta saja enggak becus,"['anies', 'omong', 'doang', 'gede', 'urus', 'jakarta', 'becus']",-7,negatif,-1,Negatif
lu makanya sini main ke jakarta prestasi anies banyak lho,"['lu', 'main', 'jakarta', 'prestasi', 'anies', 'lho']",0,netral,0,Negatif
siapa pun presiden nya yang pntng indonesia maju,"['presiden', 'nya', 'pntng', 'indonesia', 'maju']",3,positif,1,Positif
setelah menonton ini saya semakin yakin buat dukung pak anies untuk memimpin negara ini menjadi lebih baik dan maju,"['tonton', 'dukung', 'anies', 'pimpin', 'negara', 'maju']",0,netral,0,Positif
psgrb,['psgrb'],0,netral,0,Netral
akun pemerintah kok ada iklannya,"['akun', 'perintah', 'iklan']",0,netral,0,Positif
2 capres menyerang 1 capres karena 2 capres itu tahu bakal kalah apalagi capres no3 gelandangan politik itubrair cuma parkir kaki alat transportasi angin enggak punya ktp sampai jadi uang 0t lenyap terbawa anginbrbismillah prabowo presiden indonesia tahun 2024 untuk indonesia maju,"['2', 'capres', 'serang', '1', 'capres', '2', 'capres', 'kalah', 'capres', 'no3', 'gelandang', 'politik', 'itubrair', 'parkir', 'kaki', 'alat', 'transportasi', 'angin', 'ktp', 'uang', '0t', 'lenyap', 'bawa', 'anginbrbismillah', 'prabowo', 'presiden', 'indonesia', '2024', 'indonesia', 'maju']",-12,negatif,-1,Negatif
harusnya sih berdebat pakai etikabrsmoga pakai anis bisa trplih,"['sih', 'debat', 'pakai', 'etikabrsmoga', 'pakai', 'anis', 'trplih']",3,positif,1,Positif
semoga pak anies dan pak muhaimin menang amin,"['moga', 'anies', 'muhaimin', 'menang', 'amin']",0,netral,0,Positif
0 t kemana ini apa anis,"['0', 't', 'mana', 'anis']",0,netral,0,Negatif
semoga kpu jujurnetraladil amin,"['moga', 'kpu', 'jujurnetraladil', 'amin']",1,positif,1,Positif
no 2 mantaptegas berpikir untuk bangsabukan kepentingan sesaattapi jangka panjangbrbrbukan yang omong manis belaka,"['no', '2', 'mantaptegas', 'pikir', 'bangsabukan', 'penting', 'sesaattapi', 'jangka', 'panjangbrbrbukan', 'omong', 'manis', 'belaka']",-1,negatif,-1,Negatif
serius bertanya kalau buat perantau kerja diluar kota cara pemilu biar enggak golput bagaimana sih soalnya kalau datang ke kpu takut enggak boleh coblos soalnya ktp kk enggak sesuai yang tertera karena beda provinsi,"['serius', 'rantau', 'kerja', 'luar', 'kota', 'milu', 'biar', 'golput', 'sih', 'kpu', 'takut', 'coblos', 'ktp', 'kk', 'sesuai', 'tera', 'beda', 'provinsi']",-8,negatif,-1,Negatif
saya lebih suka mereka semua menjadi menteri karena presiden pasti mendengarkan menterinya terkait kebijakan yang akan diambil nantinya tapi kalau merekamereka ini jadi presiden mungkin mereka tidak akan mendengar menteri2nya,"['suka', 'menteri', 'presiden', 'dengar', 'menteri', 'kait', 'bijak', 'ambil', 'merekamereka', 'presiden', 'dengar', 'menteri2nya']",7,positif,1,Positif
prabowo gibran gass,"['prabowo', 'gibran', 'gass']",0,netral,0,Positif
seruu saya suka visi misi pak aniestinggal jelasin pelaksanaan rencana2nya pak semoga pilihantuhan yang terpilih jadi pemimpin bangsa dan negara ini menjadi lebih baik lagiamin,"['seruu', 'suka', 'visi', 'misi', 'aniestinggal', 'jelasin', 'laksana', 'rencana2nya', 'moga', 'pilihantuhan', 'pilih', 'pimpin', 'bangsa', 'negara', 'lagiamin']",3,positif,1,Positif
gambaran suatu kelompok suku ras atau negara dapat dilihat dari siapa pemimpinnya apalagi membahas tentang suatu negara ini menyangkut banyak aspek baik dari kemanusiaan dan tatanan kehidupandan harus dibicarakan dengan serius bukan dibuat menjadi bahan bercandaanbroleh karena itu dari debat ini kita bisa melihat mana yang dengan serius memikirkan tentang negara inibrbrquotwatch you thoughts for they become wordsbrwatch your words for they become your actionsbrwatch your action for they become your habitsbrwatch your habits for they become your characterbrwatch your character for they become your destinybrin other words what you think you becomequotbrmelihat bagaimana cara mereka berpikir cara pandang bicara dan tindakannya kita harus mengambil hak dan kewajiban untuk memilih dengan benarbrinshaa allah pemimpin yang terpilih adalah yang presiden yang terbaik amin,"['gambar', 'kelompok', 'suku', 'ras', 'negara', 'pimpin', 'bahas', 'negara', 'aspek', 'manusia', 'tatanan', 'kehidupandan', 'bicara', 'serius', 'bahan', 'bercandaanbroleh', 'debat', 'serius', 'pikir', 'negara', 'inibrbrquotwatch', 'you', 'thoughts', 'for', 'they', 'become', 'wordsbrwatch', 'your', 'words', 'for', 'they', 'become', 'your', 'actionsbrwatch', 'your', 'action', 'for', 'they', 'become', 'your', 'habitsbrwatch', 'your', 'habits', 'for', 'they', 'become', 'your', 'characterbrwatch', 'your', 'character', 'for', 'they', 'become', 'your', 'destinybrin', 'other', 'words', 'what', 'you', 'think', 'you', 'becomequotbrmelihat', 'pikir', 'pandang', 'bicara', 'tindak', 'ambil', 'hak', 'wajib', 'pilih', 'benarbrinshaa', 'allah', 'pimpin', 'pilih', 'presiden', 'baik', 'amin']",-16,negatif,-1,Negatif
anies sang penghianat sejati dan seorang yang tidak tau diri sekian terimakasih sudah sangat jelas prabowo presiden ri,"['anies', 'sang', 'penghianat', 'sejati', 'tau', 'sekian', 'terimakasih', 'prabowo', 'presiden', 'ri']",7,positif,1,Positif
benar pengkhianat banget bahaya kalo indonesia dipimpin sama orang yang bermuka 2 kayak anismentri pecatan jokowi,"['khianat', 'banget', 'bahaya', 'kalo', 'indonesia', 'pimpin', 'orang', 'muka', '2', 'kayak', 'anismentri', 'pecat', 'jokowi']",-16,negatif,-1,Negatif
amin presiden br0 rakyat pilih anis brklw hasil kpu bukan anis fix ada kecurangan,"['amin', 'presiden', 'br0', 'rakyat', 'pilih', 'anis', 'brklw', 'hasil', 'kpu', 'anis', 'fix', 'curang']",-1,negatif,-1,Negatif
rakyat yang mana gue saja enggak pilih diangapain pilih mentri pecatan jkowi,"['rakyat', 'gue', 'pilih', 'diangapain', 'pilih', 'tri', 'pecat', 'jkowi']",-9,negatif,-1,Negatif
betul pasti ada kecurangan turun tangan pemerintah untuk di asamm sulfat,"['curang', 'turun', 'tangan', 'perintah', 'asamm', 'sulfat']",-6,negatif,-1,Negatif
akhirnya bisa liatkrena kemarin enggak sempat,"['liatkrena', 'kemarin']",0,netral,0,Positif
program yang sangat bagus yang menyampaikan informasi dan pengetahuan paslon kepada kami dalam netralitas,"['program', 'bagus', 'informasi', 'tahu', 'paslon', 'netralitas']",-3,negatif,-1,Negatif
fix no 1,"['fix', 'no', '1']",0,netral,0,Negatif
dua kali kalah nyalon ambisi sekali menjadi presiden kayaknya sudah dari dia jadi mantu pak harto sudah pengin jadi presiden jangan lupa sejarah sih enggak yakin dia nyalon lagi enggak yakin untuk pilih pragib,"['kali', 'kalah', 'nyalon', 'ambisi', 'presiden', 'kayak', 'mantu', 'harto', 'pengin', 'presiden', 'lupa', 'sejarah', 'sih', 'nyalon', 'pilih', 'pragib']",-1,negatif,-1,Negatif
semuanya ambisi apalagi anis setelah dipecat jadi mentrinya jkowi dtng ke prbwo meminta buat diusung jadi gubernurmunafik katanya enggak akan jadi capres kalo masih ada prabowo enggak tau terima kasih,"['ambisi', 'anis', 'pecat', 'tri', 'jkowi', 'dtng', 'prbwo', 'usung', 'gubernurmunafik', 'capres', 'kalo', 'prabowo', 'tau', 'terima', 'kasih']",-2,negatif,-1,Negatif
aku lihat pak prabowo agak emosi karena dia tau lawan debatnya hanya pintar mengomong,"['lihat', 'prabowo', 'emosi', 'tau', 'lawan', 'debat', 'pintar', 'omong']",-6,negatif,-1,Negatif
nyariin dimana alam ternyata diblkg bapaknya pas too,"['nyariin', 'mana', 'alam', 'diblkg', 'bapak', 'pas', 'too']",2,positif,1,Positif
eh sudah tukeran tempat duduk,"['eh', 'tukeran', 'duduk']",0,netral,0,Positif
pak anies terbaik dalam segala hal itu real,"['anies', 'baik', 'real']",4,positif,1,Positif
dua kali nyalon sekarang pasangan sama anak rivalnya yang mengalahkan dua kali dalam pilihan demi apa ya tidak yakin sama pasangan pragrib,"['kali', 'nyalon', 'pasang', 'anak', 'rival', 'kalah', 'kali', 'pilih', 'ya', 'pasang', 'pragrib']",3,positif,1,Negatif
harus pilih pemimpin yang tepat,"['pilih', 'pimpin']",-2,negatif,-1,Negatif
pilihlah yang tepat sesuai hati nurani masing,"['pilih', 'sesuai', 'hati', 'nurani']",1,positif,1,Positif
meragu kalau pragrib mimpin indonesia melihat tindakan dan sikap mereka malam ini keraguan semakin kental untuk bilang tidak dehbr,"['ragu', 'pragrib', 'mimpin', 'indonesia', 'tindak', 'sikap', 'malam', 'ragu', 'kental', 'bilang', 'dehbr']",-5,negatif,-1,Negatif
harus di pimpin olah orang yang pas untuk negara ini,"['pimpin', 'olah', 'orang', 'pas', 'negara']",3,positif,1,Positif
dari debat itu aku jadi khawatir sih bagaimana indonesia dipimpin pragrib gampang ke trigger gitu,"['debat', 'khawatir', 'sih', 'indonesia', 'pimpin', 'pragrib', 'gampang', 'trigger', 'gitu']",0,netral,0,Negatif
harusnya pemimpin tidak boleh terlalu termakan emosi saat memimpin karena akan menyebabkan pembuatan keputusan yang buruk,"['pimpin', 'makan', 'emosi', 'pimpin', 'sebab', 'buat', 'putus', 'buruk']",-6,negatif,-1,Negatif
jadi ragu mendukung pragib history prabowo 2 kali kalah dan gibran pun melanggar konstitusi,"['ragu', 'dukung', 'pragib', 'history', 'prabowo', '2', 'kali', 'kalah', 'gibran', 'langgar', 'konstitusi']",-3,negatif,-1,Negatif
sebelumnya 2 kali mendukung prabowo tapi kalah terus akhirnya mantapkan ke anis sekarang,"['2', 'kali', 'dukung', 'prabowo', 'kalah', 'mantap', 'anis']",5,positif,1,Positif
melihat ketiga pasangan terutama pragib yang satu pelanggar ham satunya lagi melanggar konstitusi akhirnya saya mantapkan pilihan ke amin,"['tiga', 'pasang', 'pragib', 'langgar', 'ham', 'satu', 'langgar', 'konstitusi', 'mantap', 'pilih', 'amin']",9,positif,1,Positif
kalau sampai negara ini dipimpin pragib maka akan jadi negara yang otoriter orde baru akan kembali,"['negara', 'pimpin', 'pragib', 'negara', 'otoriter', 'orde']",3,positif,1,Negatif
